mode,seed,scorer,alpha,topk,smooth,VAL_Accuracy,VAL_Precision,VAL_Recall,VAL_F1,VAL_FPR,VAL_TN,VAL_FP,VAL_FN,VAL_TP,VAL_ROC-AUC,VAL_PR-AUC,beta
net_only,31337,unsup,1.0,1.0,8,0.8837438423645321,0.034482758620689655,0.004784688995215311,0.008403361344537815,0.015376166941241073,5379,84,624,3,0.37399881061547585,0.07994795387106265,
net_only,31337,unsup,1.0,1.0,12,0.8830870279146141,0.0,0.0,0.0,0.01555921654768442,5378,85,627,0,0.3719220588205241,0.07951507234889132,
net_only,31337,unsup,1.0,1.0,20,0.8835796387520526,0.0,0.0,0.0,0.015010067728354382,5381,82,627,0,0.37279745634033334,0.08009768132262879,
net_only,31337,unsup,1.0,1.0,30,0.8839080459770114,0.0,0.0,0.0,0.01464396851546769,5383,80,627,0,0.37193840774869125,0.08034520543183664,
net_only,31337,unsup,1.0,1.0,40,0.8830870279146141,0.0,0.0,0.0,0.01555921654768442,5378,85,627,0,0.3712682476664095,0.08057985348805373,
net_only,31337,unsup,1.0,3.0,1,0.8840722495894909,0.10891089108910891,0.017543859649122806,0.03021978021978022,0.01647446457990115,5373,90,616,11,0.3762278118039845,0.08496041892612576,
net_only,31337,unsup,1.0,3.0,2,0.8835796387520526,0.09803921568627451,0.01594896331738437,0.027434842249657063,0.01684056379278784,5371,92,617,10,0.37669725959849953,0.08449005015859615,
net_only,31337,unsup,1.0,3.0,3,0.8835796387520526,0.08163265306122448,0.012759170653907496,0.022068965517241378,0.01647446457990115,5373,90,619,8,0.37770213479049,0.08522802487332123,
net_only,31337,unsup,1.0,3.0,5,0.8827586206896552,0.06060606060606061,0.009569377990430622,0.01652892561983471,0.01702361339923119,5370,93,621,6,0.3799413540591031,0.08437708777231964,
net_only,31337,unsup,1.0,3.0,8,0.8822660098522167,0.04081632653061224,0.006379585326953748,0.011034482758620689,0.017206663005674534,5369,94,623,4,0.37993814266249887,0.08153582654874972,
net_only,31337,unsup,1.0,3.0,12,0.8812807881773399,0.029411764705882353,0.004784688995215311,0.00823045267489712,0.018121911037891264,5364,99,624,3,0.3781012238048569,0.08105020374400117,
net_only,31337,unsup,1.0,3.0,20,0.8804597701149425,0.0,0.0,0.0,0.018488010250777957,5362,101,627,0,0.3768594351270151,0.08100900847955472,
net_only,31337,unsup,1.0,3.0,30,0.8807881773399014,0.0,0.0,0.0,0.018121911037891264,5364,99,627,0,0.37436155245918534,0.08084079754953716,
net_only,31337,unsup,1.0,3.0,40,0.880623973727422,0.0,0.0,0.0,0.018304960644334612,5363,100,627,0,0.37280198149009386,0.08095886093601892,
net_only,31337,unsup,1.0,5.0,1,0.8839080459770114,0.14285714285714285,0.025518341307814992,0.04330175913396482,0.017572762218561227,5367,96,611,16,0.37934345040041734,0.08759510587980816,
net_only,31337,unsup,1.0,5.0,2,0.8832512315270936,0.10377358490566038,0.017543859649122806,0.030013642564802184,0.017389712612117882,5368,95,616,11,0.37797568739214454,0.08722313054199476,
net_only,31337,unsup,1.0,5.0,3,0.8825944170771757,0.08490566037735849,0.014354066985645933,0.02455661664392906,0.017755811825004575,5366,97,618,9,0.37930578947660365,0.08634069843119425,
net_only,31337,unsup,1.0,5.0,5,0.8816091954022989,0.06481481481481481,0.011164274322169059,0.01904761904761905,0.018488010250777957,5362,101,620,7,0.3829572933882307,0.08654156761674525,
net_only,31337,unsup,1.0,5.0,8,0.8807881773399014,0.061946902654867256,0.011164274322169059,0.01891891891891892,0.01940325828299469,5357,106,620,7,0.3839119540151362,0.08365597054940675,
net_only,31337,unsup,1.0,5.0,12,0.8802955665024631,0.044642857142857144,0.007974481658692184,0.013531799729364006,0.019586307889438034,5356,107,622,5,0.38319362298379034,0.08318859516460538,
net_only,31337,unsup,1.0,5.0,20,0.8798029556650246,0.01834862385321101,0.003189792663476874,0.005434782608695652,0.019586307889438034,5356,107,625,2,0.38262403800425127,0.08305325718649972,
net_only,31337,unsup,1.0,5.0,30,0.8794745484400657,0.0,0.0,0.0,0.019586307889438034,5356,107,627,0,0.3807183660647634,0.08261531025897331,
net_only,31337,unsup,1.0,5.0,40,0.8796387520525452,0.0,0.0,0.0,0.01940325828299469,5357,106,627,0,0.3795002249437348,0.08263821371709539,
net_only,31337,unsup,1.0,10.0,1,0.8839080459770114,0.14285714285714285,0.025518341307814992,0.04330175913396482,0.017572762218561227,5367,96,611,16,0.3844721967500082,0.08853267726351995,
net_only,31337,unsup,1.0,10.0,2,0.8829228243021346,0.10185185185185185,0.017543859649122806,0.029931972789115645,0.017755811825004575,5366,97,616,11,0.38374218791282866,0.08903015622570554,
net_only,31337,unsup,1.0,10.0,3,0.8821018062397373,0.09734513274336283,0.017543859649122806,0.02972972972972973,0.018671059857221305,5361,102,616,11,0.3851747627434786,0.08876649367168124,
net_only,31337,unsup,1.0,10.0,5,0.8811165845648604,0.07079646017699115,0.012759170653907496,0.021621621621621623,0.019220208676551342,5358,105,619,8,0.3893806704870609,0.08975545930859721,
net_only,31337,unsup,1.0,10.0,8,0.8807881773399014,0.06956521739130435,0.012759170653907496,0.0215633423180593,0.019586307889438034,5356,107,619,8,0.39186833507478613,0.08753884312250114,
net_only,31337,unsup,1.0,10.0,12,0.8802955665024631,0.044642857142857144,0.007974481658692184,0.013531799729364006,0.019586307889438034,5356,107,622,5,0.3920499249555003,0.08733921369578318,
net_only,31337,unsup,1.0,10.0,20,0.8799671592775041,0.02727272727272727,0.004784688995215311,0.008141112618724558,0.019586307889438034,5356,107,624,3,0.39336411602951094,0.08734940602852323,
net_only,31337,unsup,1.0,10.0,30,0.8798029556650246,0.01834862385321101,0.003189792663476874,0.005434782608695652,0.019586307889438034,5356,107,625,2,0.3921411578135761,0.08681620470371348,
net_only,31337,unsup,1.0,10.0,40,0.8796387520525452,0.009259259259259259,0.001594896331738437,0.0027210884353741495,0.019586307889438034,5356,107,626,1,0.3905972059097872,0.08643012553035999,
net_only,31337,unsup,1.0,20.0,1,0.8837438423645321,0.13513513513513514,0.023923444976076555,0.04065040650406504,0.017572762218561227,5367,96,612,15,0.38144618531334906,0.08837542699608751,
net_only,31337,unsup,1.0,20.0,2,0.8824302134646962,0.0990990990990991,0.017543859649122806,0.02981029810298103,0.018304960644334612,5363,100,616,11,0.3814553815854432,0.08963076015554516,
net_only,31337,unsup,1.0,20.0,3,0.8821018062397373,0.10434782608695652,0.019138755980861243,0.03234501347708895,0.01885410946366465,5360,103,615,12,0.38504630687930774,0.08973543779412786,
net_only,31337,unsup,1.0,20.0,5,0.8807881773399014,0.06956521739130435,0.012759170653907496,0.0215633423180593,0.019586307889438034,5356,107,619,8,0.3916724398819257,0.09064699119923253,
