criterion,criterion_value,mode,scorer,seed,alpha,topk,smooth,beta,hyst_mult,head,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_ROC-AUC,TEST_PR-AUC,TESTOP_Accuracy,TESTOP_F1,TESTACC_Accuracy,TESTACC_F1,TESTHY_Accuracy,TESTHY_F1,TEST_EventRecall
TESTACC_F1,0.608955223880597,fused,unsup,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TESTHY_F1,0.608955223880597,fused,unsup,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TEST_ROC-AUC,0.888233234089375,fused,unsup,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TEST_PR-AUC,0.6738155861405859,fused,unsup,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TEST_Accuracy,0.8967893270781411,net_only,hybrid,31337,1.0,20.0,40,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8967893270781411,0.0,0.0,0.0,0.2838795500283233,0.0636858125573835,0.4747104530127547,0.08573615718295484,0.9069051458730392,0.0,0.4747104530127547,0.08573615718295484,0.0
TESTACC_Accuracy,0.9069051458730392,net_only,hybrid,31337,1.0,20.0,40,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8967893270781411,0.0,0.0,0.0,0.2838795500283233,0.0636858125573835,0.4747104530127547,0.08573615718295484,0.9069051458730392,0.0,0.4747104530127547,0.08573615718295484,0.0
TESTOP_Accuracy,0.8955468238375901,net_only,hybrid,7,1.0,20.0,2,0.9,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8963654223968566,0.0,0.0,0.0,0.467479062838069,0.12788348190253593,0.8955468238375901,0.07803468208092486,0.8963654223968566,0.0,0.8955468238375901,0.07803468208092486,0.0
TESTHY_Accuracy,0.8955468238375901,net_only,hybrid,7,1.0,20.0,2,0.9,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8963654223968566,0.0,0.0,0.0,0.467479062838069,0.12788348190253593,0.8955468238375901,0.07803468208092486,0.8963654223968566,0.0,0.8955468238375901,0.07803468208092486,0.0
TEST_F1,0.07491486946651532,net_only,hybrid,2024,1.0,20.0,20,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8805860805860806,0.13147410358565736,0.05238095238095238,0.07491486946651532,0.3977996848456897,0.08064706371136171,0.7345054945054945,0.11089303238469088,0.8282783882783883,0.10397553516819572,0.7345054945054945,0.11089303238469088,0.15789473684210525
TESTOP_F1,0.17173913043478262,net_only,hybrid,42,1.0,20.0,30,0.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8959764474975466,0.0,0.0,0.0,0.43959697063283265,0.11177756944621346,0.6261040235525025,0.17173913043478262,0.8972849198560681,0.0,0.6261040235525025,0.17173913043478262,0.0
