mode,seed,scorer,target_FPR,threshold,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_FPR,TEST_TN,TEST_FP,TEST_FN,TEST_TP,TEST_ROC-AUC,TEST_PR-AUC
fused,123,semisup,0.05,2.323152411166611,0.8483510011778563,0.06140350877192982,0.044444444444444446,0.05156537753222836,0.06945796819214539,5734,428,602,28,0.44107226575581004,0.0781257202573711
fused,123,semisup,0.1,1.6201874271846415,0.7739988221436984,0.06448508180943215,0.10634920634920635,0.08028759736369083,0.15774099318403115,5190,972,563,67,0.44107226575581004,0.0781257202573711
fused,123,hybrid,0.001,6.140817857187118,0.931831566548881,0.8408163265306122,0.326984126984127,0.47085714285714286,0.006329113924050632,6123,39,424,206,0.7902337933983504,0.5065380358630873
fused,123,hybrid,0.002,5.0896718556322424,0.9265312131919906,0.7092651757188498,0.3523809523809524,0.4708377518557794,0.014767932489451475,6071,91,408,222,0.7902337933983504,0.5065380358630873
fused,123,hybrid,0.005,3.7265406621780084,0.9075382803297998,0.5020746887966805,0.38412698412698415,0.4352517985611511,0.03894839337877312,5922,240,388,242,0.7902337933983504,0.5065380358630873
fused,123,hybrid,0.01,3.165311071754093,0.898851590106007,0.45395799676898224,0.44603174603174606,0.4499599679743795,0.054852320675105475,5824,338,349,281,0.7902337933983504,0.5065380358630873
fused,123,hybrid,0.02,2.502001456296579,0.8857479387514723,0.41075794621026895,0.5333333333333333,0.46408839779005523,0.07822135670236935,5680,482,294,336,0.7902337933983504,0.5065380358630873
fused,123,hybrid,0.05,1.6478014028260997,0.8483510011778563,0.32174688057041,0.573015873015873,0.4121004566210046,0.1234988640051931,5401,761,269,361,0.7902337933983504,0.5065380358630873
fused,123,hybrid,0.1,1.2212294484094044,0.8118374558303887,0.2813765182186235,0.6619047619047619,0.39488636363636365,0.17283349561830572,5097,1065,213,417,0.7902337933983504,0.5065380358630873
fused,2024,unsup,0.001,8.986874681485098,0.9296703296703297,0.9261363636363636,0.25873015873015875,0.4044665012406948,0.002098466505246166,6182,13,467,163,0.7291581792792446,0.5144105698599363
